step	train/acc
0	0.9159500002861023
1	0.963533341884613
2	0.9705333113670349
3	0.9750666618347168
4	0.9769999980926514
5	0.9804666638374329
6	0.9829999804496765
7	0.9847333431243896
8	0.9863333106040955
9	0.9864166378974915
