step	train/loss
0	0.18463322520256042
1	0.06593839824199677
2	0.0472368560731411
3	0.03590484336018562
4	0.027794986963272095
5	0.02267215959727764
6	0.019040361046791077
7	0.014465377666056156
8	0.014280310831964016
9	0.011526978574693203
